GPS	0x0006	GPSAltitude	Altitude
GPS	0x0007	GPSTimeStamp	GPS time of day
GPS	0x000C	GPSSpeedRef	GPS speed unit
GPS	0x000D	GPSSpeed	GPS speed
GPS	0x0010	GPSImgDirectionRef	Image direction reference
GPS	0x0011	GPSImgDirection	Image direction
GPS	0x001D	GPSDateStamp	GPS date
IPTC	3	ObjectName	IPTC object name
IPTC	5	EditStatus	IPTC edit status
IPTC	10	Urgency	IPTC urgency
IPTC	15	Category	IPTC category
IPTC	20	SupplementalCategories	IPTC supplemental categories
IPTC	25	Keywords	IPTC keywords
IPTC	55	DateCreated	IPTC creation date
IPTC	60	TimeCreated	IPTC creation time
IPTC	80	Byline	IPTC creator
IPTC	85	BylineTitle	IPTC creator title
IPTC	90	City	IPTC city
IPTC	92	SubLocation	IPTC sub-location
IPTC	95	ProvinceState	IPTC province or state
IPTC	101	CountryCode	IPTC country code
IPTC	102	Country	IPTC country
IPTC	105	Headline	IPTC headline
IPTC	110	Credit	IPTC credit
IPTC	115	Source	IPTC source
IPTC	116	CopyrightNotice	IPTC copyright notice
IPTC	120	CaptionAbstract	IPTC caption
IPTC	122	WriterEditor	IPTC writer or editor
DNG	0xC612	DNGVersion	DNG specification version
DNG	0xC613	DNGBackwardVersion	Oldest DNG version supported by the file
DNG	0xC614	UniqueCameraModel	Unique camera model identifier
DNG	0xC615	LocalizedCameraModel	Localized camera model name
DNG	0xC616	CFAPlaneColor	CFA plane color order
DNG	0xC617	CFALayout	CFA layout pattern
DNG	0xC618	LinearizationTable	Sensor linearization table
DNG	0xC619	BlackLevelRepeatDim	Black-level repeat dimensions
DNG	0xC61A	BlackLevel	Sensor black level
DNG	0xC61D	WhiteLevel	Sensor white level
DNG	0xC61E	DefaultScale	Default pixel scale
DNG	0xC61F	DefaultCropOrigin	Default crop origin
DNG	0xC620	DefaultCropSize	Default crop size
DNG	0xC621	ColorMatrix1	First camera color matrix
DNG	0xC622	ColorMatrix2	Second camera color matrix
DNG	0xC628	AsShotNeutral	As-shot neutral values
DNG	0xC629	AsShotWhiteXY	As-shot white point
DNG	0xC62A	BaselineExposure	Baseline exposure adjustment
DNG	0xC62F	CameraSerialNumber	Camera serial number
DNG	0xC630	LensInfo	Lens focal length and aperture range
DNG	0xC634	DNGPrivateData	Private DNG data block
DNG	0xC635	MakerNoteSafety	MakerNote safety indicator
DNG	0xC65A	CalibrationIlluminant1	First calibration illuminant
DNG	0xC65B	CalibrationIlluminant2	Second calibration illuminant
ICC	0x6465_7363	Description	ICC profile description
ICC	0x6370_7274	Copyright	ICC profile copyright
ICC	0x646D_6E64	ManufacturerDescription	ICC device manufacturer description
ICC	0x646D_6464	ModelDescription	ICC device model description
ICC	0x7774_7074	MediaWhitePoint	ICC media white point
ICC	0x626B_7074	MediaBlackPoint	ICC media black point
ICC	0x6C75_6D69	Luminance	ICC luminance
ICC	0x7258_595A	RedMatrixColumn	ICC red matrix column
ICC	0x6758_595A	GreenMatrixColumn	ICC green matrix column
ICC	0x6258_595A	BlueMatrixColumn	ICC blue matrix column
MakerNotes	0x0001	Nikon:Version	Nikon MakerNote version
MakerNotes	0x0002	Nikon:ISO	Nikon MakerNote ISO speed
MakerNotes	0x0004	Nikon:Quality	Nikon MakerNote image quality
MakerNotes	0x0005	Nikon:WhiteBalance	Nikon MakerNote white balance
MakerNotes	0x0006	Nikon:Sharpness	Nikon MakerNote sharpness
MakerNotes	0x0007	Nikon:FocusMode	Nikon MakerNote focus mode
MakerNotes	0x0008	Nikon:FlashSetting	Nikon MakerNote flash setting
MakerNotes	0x0009	Nikon:FlashType	Nikon MakerNote flash type
MakerNotes	0x000B	Nikon:WhiteBalanceFineTune	Nikon MakerNote white-balance fine tune
MakerNotes	0x000C	Nikon:ColorMode	Nikon MakerNote color mode
MakerNotes	0x0080	Nikon:ImageAdjustment	Nikon MakerNote image adjustment
MakerNotes	0x0081	Nikon:ToneCompensation	Nikon MakerNote tone compensation
MakerNotes	0x0082	Nikon:Adapter	Nikon MakerNote adapter
MakerNotes	0x0083	Nikon:LensType	Nikon MakerNote lens type
MakerNotes	0x0084	Nikon:Lens	Nikon MakerNote lens
MakerNotes	0x0085	Nikon:ManualFocusDistance	Nikon MakerNote manual-focus distance
MakerNotes	0x0086	Nikon:DigitalZoom	Nikon MakerNote digital zoom
MakerNotes	0x0087	Nikon:FlashMode	Nikon MakerNote flash mode
MakerNotes	0x0088	Nikon:AFPoint	Nikon MakerNote autofocus point
MakerNotes	0x0089	Nikon:ShootingMode	Nikon MakerNote shooting mode
MakerNotes	0x008B	Nikon:LensStops	Nikon MakerNote lens stops
MakerNotes	0x0093	Nikon:NEFCompression	Nikon MakerNote NEF compression
MakerNotes	0x0094	Nikon:Saturation	Nikon MakerNote saturation
MakerNotes	0x0000	FujiFilm:Version	Fujifilm MakerNote version
MakerNotes	0x1000	FujiFilm:Quality	Fujifilm MakerNote image quality
MakerNotes	0x1001	FujiFilm:Sharpness	Fujifilm MakerNote sharpness
MakerNotes	0x1002	FujiFilm:WhiteBalance	Fujifilm MakerNote white balance
MakerNotes	0x1003	FujiFilm:Saturation	Fujifilm MakerNote saturation
MakerNotes	0x1004	FujiFilm:Contrast	Fujifilm MakerNote contrast
MakerNotes	0x1005	FujiFilm:ColorTemperature	Fujifilm MakerNote color temperature
MakerNotes	0x100A	FujiFilm:WhiteBalanceFineTune	Fujifilm MakerNote white-balance fine tune
MakerNotes	0x100B	FujiFilm:NoiseReduction	Fujifilm MakerNote noise reduction
MakerNotes	0x100E	FujiFilm:NoiseReduction2	Fujifilm MakerNote secondary noise reduction
MakerNotes	0x100F	FujiFilm:Clarity	Fujifilm MakerNote clarity
MakerNotes	0x1010	FujiFilm:FujiFlashMode	Fujifilm MakerNote flash mode
MakerNotes	0x1011	FujiFilm:FlashExposureComp	Fujifilm MakerNote flash exposure compensation
MakerNotes	0x1020	FujiFilm:Macro	Fujifilm MakerNote macro mode
MakerNotes	0x1021	FujiFilm:FocusMode	Fujifilm MakerNote focus mode
MakerNotes	0x1022	FujiFilm:AFMode	Fujifilm MakerNote autofocus mode
MakerNotes	0x0102	Sony:Quality	Sony MakerNote image quality
MakerNotes	0x0104	Sony:FlashExposureComp	Sony MakerNote flash exposure compensation
MakerNotes	0x0105	Sony:Teleconverter	Sony MakerNote teleconverter
MakerNotes	0x0112	Sony:WhiteBalanceFineTune	Sony MakerNote white-balance fine tune
MakerNotes	0x2002	Sony:Rating	Sony MakerNote rating
MakerNotes	0x2004	Sony:Contrast	Sony MakerNote contrast
MakerNotes	0x2005	Sony:Saturation	Sony MakerNote saturation
MakerNotes	0x2006	Sony:Sharpness	Sony MakerNote sharpness
MakerNotes	0x2007	Sony:Brightness	Sony MakerNote brightness
MakerNotes	0x2008	Sony:LongExposureNoiseReduction	Sony MakerNote long-exposure noise reduction
MakerNotes	0x2009	Sony:HighISONoiseReduction	Sony MakerNote high-ISO noise reduction
MakerNotes	0x200A	Sony:HDR	Sony MakerNote HDR mode
MakerNotes	0x200B	Sony:MultiFrameNoiseReduction	Sony MakerNote multi-frame noise reduction
MakerNotes	0x200E	Sony:PictureEffect	Sony MakerNote picture effect
Interop	0x0001	InteroperabilityIndex	Interoperability identifier
